State,Year,Category,Project,Company,Jobs Created,Qualified Expenditures,Incentive Issued
Louisiana,2013,TV Video,Egine Videos,Growing Soul Productions Inc.,,"$356,280","$111,428"
North Carolina,2014,,Kate +8 Update,Advanced Medical Productions,17,"$445,416","$111,354"
New York,2015,Post-Production,Big Stone Gap,"Big Stone Gap Productions, LLC",17,"$396,153","$111,346"
Massachusetts,2015,,Hollygrove,"Hollygrove Movie, LLC",,,"$111,325"
Louisiana,2013,Feature Film,Grudge Match,Riverboat Productions LLC,,"$365,048","$111,256"
Illinois,,TV,Desperate Measures,,,
Massachusetts,2012,,Best in the Business,"All Screens Entertainment, Inc",,,"$111,173"
Illinois,,Commercial,"Steak N Shake ""Hunger Wisely"" Campaign",,,
Louisiana,2013,Feature Film,The butler,Butler Productions LLC,,"$369,863","$110,959"
Illinois,,Commercial,Value City Furniture 969,,,
Louisiana,2014,TV Reality,Rivermen,Colony Productions Inc.,,"$361,123","$110,896"
New York,2015,Post-Production,"Sacrament, The","Extra Marmalade, Inc",11,"$468,824","$110,822"
Louisiana,2014,Feature Film,Evan's Crime,Tung-Levy Productions LLC,,"$360,002","$110,790"
Massachusetts,2016,,Giant Hunters,Left Right LLC,,,"$110,640"
Louisiana,2014,Feature Film,Hot Tub Time Machine 2,Great White Buffalo Productions LLC,,"$356,056","$110,571"
Louisiana,2011,Feature Film,Escapee,Films in Motion,,"$357,751","$110,529"
Louisiana,2015,TV Commercial,Dell Computers Why Dell Campaign,Strong Films LLC,,"$346,665","$110,400"
Ohio,2016,,American Exotic,American Exotic Productions Ltd,,,"$110,370"
Michigan,2016,Motion Picture,ISRA 88,"ISRA 88, LLC",4,"$577,551","$110,357"
New York,2015,Film/TV,"Neon Joe, Werewolf Hunter Pilot",PPFR COCOR Inc,171,"$538,827","$110,292"
Minnesota,,FF,Last Love Letter (w/t),,,"$440,000","$110,000"
Illinois,,Commercial,Defender,,,
New York,2017,Film/TV,Naomi & Ely's No Kiss List,"No Kiss Productions, Inc",224,"$514,871","$109,906"
Illinois,,TV,Gallery of Guns 2014,,,
Illinois,,Commercial,Lebron/Deng Rivals Convention,,,
Illinois,,Commercial,Kmart Holiday Layaway GM,,,
Louisiana,2015,Feature Film,Rodeo & Juliet,Sisung Film Finance LLC,,"$348,186","$109,292"
Oklahoma,,,American Ninja Warrior 8 (TV),,
Illinois,,Commercial,Subway 3205,,,
Rhode Island,2013,Feature,A Bet's A Bet,,,"$600,000","$108,926"
New York,2017,Film/TV,"Inherited, The","Bright October Productions, LLC",105,"$474,501","$108,661"
Illinois,,TV,Guns & Ammo 2014,,,
Connecticut,2013,Film and Digital Media Production Tax Credit,,"Silver Plume Productions, LLC",,,"$108,497"
Illinois,,Commercial,"Kraft:  Miracle Whip Video Series ""How To""",,,
Louisiana,2016,Commercial,Popeyes Musical & A Streetcar Named Emilio,Strong Films LLC,,"$312,584","$108,260"
Illinois,,Commercial,"PepsiCo:  Gatorade ""You Could""",,,
Minnesota,,TV S,BF Repacks 1:3,,,"$541,158","$108,232"
Mississippi,2017,,Missing Daughter,,,"$27,812","$108,193"
Louisiana,2012,Feature Film,What She Wants could this be Love,Sisung Film Finance LLC,,"$329,022","$108,025"
Louisiana,2012,Commerical,Adicolor Champs Sports,Wonderland Finance LLC,,"$349,106","$107,941"
Illinois,,Commercial,KFC MK Job 21003,,,
Minnesota,,TV PR,Bigfoot Captured,,,"$539,597","$107,919"
New York,2016,Film/TV,I Smile Back,ISB Film LLC,135,"$451,523","$107,851"
Louisiana,2016,Commercial,Yabba Dabba Do,LGDirect LLC,,"$340,492","$107,840"
Connecticut,2010,Film and Digital Media Production Tax Credit,,"Telemark Films, LLC",,,"$107,739"
Illinois,,Commercial,Ford 936,,,
Louisiana,2012,TV Reality,Chef John Besh's Family Table,Yes/Besh Season 2 LLC,,"$358,407","$107,522"
Illinois,,Commercial,Walmart Layaway/Toys,,,
Louisiana,2013,Feature Film,Untitled Tom Cruise Project,Crater Lake Productions LLC,,"$358,068","$107,420"
Oregon,2015,Interactive Game,Various Titles,Pipeworks Software,,,"$107,374"
Oklahoma,,,The Jogger,,
North Carolina,2013,,Fiat - Here They Come,"Supply & Demand Intergrated, Inc.",88,"$428,982","$107,246"
Louisiana,2015,TV Commercial,Sad Socks,Moonbot LLC,,"$314,460","$106,930"
Minnesota,,TV S,Rock the Park 2:3,,,"$712,859","$106,929"
North Carolina,2012,,A Long Way Off,"CMD Distribution, Inc.",,"$427,701","$106,925"
Louisiana,2013,Commercial,Toyota Staycation,EASE Commercial Services LP,,"$330,863","$106,816"
Louisiana,2013,Feature Film,Finding Normal,Finding Normal LLC,,"$316,547","$106,772"
Louisiana,2013,TV MOW,2013 Voodoo Music Experience,Voodoo Music Experience LLC,,"$355,900","$106,770"
New York,2016,Post-Production,Greater,"Greater Productions, LLC",7,"$355,815","$106,744"
Florida,,FEATURE FILM,WAVES OF GRACE,,242,"$550,437","$106,729"
Massachusetts,2012,,Garden Transformed,"All Screens Entertainment, Inc",,,"$106,722"
Illinois,,TV,A Christmas Carol - The Concert,,,
Illinois,,Commercial,"TruMoo ""Experiment""",,,
New York,2016,Film/TV,Jack Goes Home,"Jack Goes Home The Film, Inc.",127,"$480,162","$106,060"
Illinois,,TV,I Pity The Tool,,,
Illinois,,Commercial,That's Why Campaign-RTA,,,
Illinois,,Commercial,House Rules Campaign,,,
Illinois,,TV,Petersen's Hunting Adventure 2013,,,
Illinois,,Commercial,"Children's Tylenol:  ""Trust""",,,
Massachusetts,2015,,2014 Greenfield Hasbro Commercials,"Greenfield Production Services, LLC",,,"$105,302"
North Carolina,2013,,Saving Westbrook High,"Charlotte Productions, LLC",45,"$420,705","$105,176"
Illinois,,Commercial,T Mobile #1651,,,
Illinois,,Film,Operator,,,
Tennessee,2017,Feature,The Road Less Traveled,,,"$420,000","$105,000"
Utah,2013,,Red Machine,,,
Louisiana,2011,TV Reality,Louisiana Lockdown,EIEIO Productions LLC,,"$349,998","$104,999"
Louisiana,2012,Feature Film,12 Years a Slave,Bass Films Investments LLC,,"$345,710","$104,908"
Massachusetts,2016,,Wheels TV Test Drives,Automotive Networks Corporation,,,"$104,764"
Tennessee,2011,TV Special,DOLLYWOOD'S 25TH ANNIVERSARY SPECIAL,,,"$616,157","$104,747"
New York,2015,Post-Production,Low Down,"Low Down Film, Inc",5,"$378,528","$104,740"
North Carolina,2014,,Los Jets,"Los Jets Productions, Inc.",,"$418,435","$104,609"
Louisiana,2014,Feature Film,Snakehead Swamp,AEF Snakehead Swamp LLC,,"$346,429","$104,581"
Utah,2017,,TREK,,,
Illinois,,Commercial,"DSG ""Father's Day""",,,
Rhode Island,2005,Documentary,Nova,,,"$418,040","$104,510"
Louisiana,2013,Feature Film,Angel's wings,Chaplin Pictures LLC,,"$327,844","$104,500"
Rhode Island,2008,TV Series,Cultivating Life/PBS - Season Three,,,"$1,001,132","$104,312"
Kentucky,2015,,Call of the Wildman (Television),"Sharp Entertainment, LLC",,,"$104,312"
Louisiana,2016,Commercial,Popeyes Louisiana Kitchen: Hispanic Block II Camp,Strong Films LLC,,"$310,668","$104,307"
Louisiana,2013,Feature Film,2 Bedroom 1 Bath,Chemical Mind Production LLC,,"$347,595","$104,278"
Illinois,,Commercial,Craftsman Holiday,,,
Illinois,,Commercial,Country Financial 954,,,
Louisiana,2016,TV Series,Scream After Dark,Louisina RPI LLC,,"$313,525","$103,869"
Connecticut,2013,Film and Digital Media Production Tax Credit,,"Venan Entertainment, Inc.",,,"$103,796"
Louisiana,2013,Commercial,Zaxbys,The Film compound LLC,,"$328,136","$103,566"
Ohio,2016,,Hal King,HK Film LLC,,,"$103,560"
Illinois,,Commercial,"BCBS ""Brothers"" ""Swimming"" ""Wedding"" ""Shopping""",,,
Louisiana,2011,Feature Film,The Great Divide,Throne Productions LLC,,"$319,361","$103,424"
New York,2016,Film/TV,Loserville,Loserville Inc.,80,"$486,439","$103,415"
Connecticut,2010,Film and Digital Media Production Tax Credit,,Georgetown Editing Studio LLC,,"$344,690","$103,407"
Illinois,,Commercial,In Character,,,
Connecticut,2010,Film and Digital Media Production Tax Credit,,"Hope's Messengers, LLC",,"$344,388","$103,316"
Louisiana,2015,Feature Film,The Dunning Man,TDM Productions LLC,,"$305,963","$103,297"
Louisiana,2014,Feature Film,Showing roots,SR Productions LLC,,"$322,889","$103,269"
New York,2016,Film/TV,BoyFriendz Pilot,,114,"$603,275","$103,240"
Louisiana,2011,TV Reality,Girls Guns and Gators,Southern Intuition Inc.,,"$343,727","$103,118"
Florida,,COMMERCIAL,COMPULSIVE PICTURES - GETTING READY,,271,"$519,691","$103,043"
Illinois,,Commercial,"Kraft: Philadelphia ""A Toast to Toast"" & ""Philly Stacks""",,,
Louisiana,2015,Animated Short,Taking Flight,Moonbot LLC,,"$306,199","$102,979"
Nevada,2015,,In the Spotlight,CBS/Kalen Productions,,,"$102,913"
Illinois,,Commercial,"Eggland's Best ""The Best""",,,
Illinois,,TV,The Squeeze Episodes 4 - 6,,,
Florida,,COMMERCIAL,RSA JEEP-NESPRESSO,,108,"$513,919","$102,783"
Oregon,2015,Feature Film,GREEN ROOM,Green Room Productions LLC,,,"$102,663"
Louisiana,2012,Commerical,Post It Go Ahead,Wonderland finance LLC,,"$317,856","$102,515"
Louisiana,2015,Commercial,Adidas,The Film Compound LLC,,"$333,344","$102,379"
New York,2015,Post-Production,Galyntine,,,"$341,050","$102,315"
Connecticut,2012,Film and Digital Media Production Tax Credit,,Lighthouse Lane Films LLC,,"$340,869","$102,261"
Rhode Island,2006,TV Series,Tango Pix/Hasbro Action Blast,,,"$300,000","$102,203"
Louisiana,2014,Feature Film,Elvis & Nixon,E&N Investments LLC,,"$326,277","$102,134"
Louisiana,2014,Feature Film,Indiscretion,Indiscretion LLC,,"$336,217","$102,127"
Massachusetts,2012,,Campus Killer,Lockdown LLC,,,"$102,098"
Utah,2014,,Rosemont,,,
Louisiana,2011,Feature Film,Contagion,Warner Brothers,,"$339,773","$101,932"
Illinois,,Film,Win It All,,,
Louisiana,2013,Feature Film,The Legend of Hercules,GP Financing LLC,,"$339,372","$101,812"
Louisiana,2010,Other,WWE Monday Night Raw & WWE Smackdown,Event Services Inc.,,"$339,276","$101,783"
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Telemark Films, LLC",,,"$101,707"
Louisiana,2011,Commerical,Robitussin Commercial,"Ease Commercial Services Louisiana, LLC",,"$319,987","$101,613"
North Carolina,2010,,Table for 12,"Advanced Medical Productions, Inc.",17,"$403,833","$101,606"
Illinois,,Commercial,Walmart Layaway/AEW,,,
Illinois,,TV,Guns & Ammo,,,
North Carolina,2014,,Purina Proof Project,Acne Media Inc.,12,"$405,194","$101,299"
Colorado,2014,Commercial,Hyundai Running Footage,Park Pictures,,"$505,983","$101,197"
Illinois,,Commercial,Northwestern Hospital #4031,,,
Minnesota,,FF,Nanny,,,"$404,365","$101,091"
Texas,2013,Feature Film,EXISTS,,,,"$100,884"
Massachusetts,2012,,Dunkin Donuts,Company Films Inc. dba Company,,,"$100,803"
Massachusetts,2016,,Coming of Age in Aging America,Vital Pictures Inc.,,,"$100,800"
Illinois,,Commercial,"Kmart 2013 Home Creative ""Kitchen"" ""Bedroom""",,,
New York,2015,Film/TV,Good Friday,,52,"$416,282","$100,493"
North Carolina,2014,,Appalachian Outlaws - 2,Original Productions,23,"$401,840","$100,460"
North Carolina,2015,,Appalachian Outlaws -,Original Productions,23,"$401,840","$100,460"
Oregon,2014,Feature Film,NIGHT MOVES,Tipping Point Productions,,,"$100,000"
Oregon,2013,Feature Film,NIGHT MOVES,Tipping Point Productions,,,"$100,000"
Utah,2015,,Monolith,,,
Utah,2017,,Little Women,,,
Texas,2012,Reality Television Project,Donna Decorates Dallas,,,,"$99,991"
Illinois,,TV,ONN Cast,,,
Colorado,2014,Television,"Countown to Sochi, Podium 360, Rugby Rising",Universal Sports,,"$498,643","$99,729"
Pennsylvania,,,1982,"1982 The Movie, LLC",50,,"$99,707"
Illinois,,Commercial,One Two Three TV Production,,,
Oregon,2015,Interactive Game,Various Titles,Backbone Entertainment,,,"$99,063"
Illinois,,TV,Davidson's Gallery of Guns 2013,,,
Louisiana,2014,TV Series,Saints and Sinners,Magic Moves LLC,,"$313,284","$98,804"
Massachusetts,2015,,Black Car,Black Car Movie LLC,,,"$98,789"
Louisiana,2011,Feature Film,Fire with Fire,Georgia film Fund Four Investments,,"$329,264","$98,779"
Illinois,,Commercial,"Everybody Loves to Payless - Semi Annual Sale ""Cake""",,,
New York,2016,Film/TV,No Letting Go,"Illness Prodns, LLC",70,"$397,854","$98,675"
Oregon,2016,Series TV,PORTLANDIA (S6),SIDESTREET ENTERTAINMENT INC,,,"$98,659"
Louisiana,2011,Post Only,Post Projects 2011,Upload Films Investments LLC,,"$328,799","$98,640"
North Carolina,2014,,Private Violence,Markay Media LLC,2,"$394,538","$98,635"
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Captured Time Productions, LLC",,,"$98,619"
Pennsylvania,,,Solar Superstorms,"Spitz, Inc.",4,,"$98,600"
Illinois,,Commercial,Belk Father's Day/Red Camel 2013,,,
Louisiana,2012,TV Reality,The Governor's Wife,Chad Alan Productions LLC,,"$328,508","$98,552"
Illinois,,Commercial,Clover 4414,,,
Louisiana,2016,TV Pilot,The Haunted,Northern Entertainment of Louisnaa LLC,,"$288,942","$98,501"
Michigan,2016,Motion Picture,The Funeral Guest,Funeral Guest Films LLC,2,"$364,046","$98,493"
New York,2017,Film/TV,To Whom it May Concern,"TWIMCNYC, Inc.",87,"$390,448","$98,250"
Illinois,,Commercial,Dean's Dairy Pure,,,
Mississippi,2016,,Same Kind of Different as Me (2 of 2),,,$0,"$98,106"
North Carolina,2014,,Burger King Petition,24601 LLC,,"$391,891","$97,973"
Louisiana,2013,TV Reality,Cajun Outdoors Season 2,Cajun Outdoors Productions LLC,,"$311,183","$97,799"
Massachusetts,2015,,Aimy in a Cage,"Ankaboot Productions, LLC",,,"$97,746"
Illinois,,Commercial,Everybody Loves to Payless - Dexflex/Comfort Plus,,,
Louisiana,2014,Commercial,Strong Films Slate June 2014,Strong Films LLC,,"$313,528","$97,538"
North Carolina,2008,,Go Daddy.Com,"The Go Daddy Group, Inc.",,"$650,000","$97,500"
Louisiana,2010,Feature Film,The Courier,Films in Motion,,"$321,087","$97,361"
Washington,2013,Commercial,Sugarplum,,,,"$97,322"
Illinois,,Commercial,Mutual of Omaha,,,
Massachusetts,2014,,Oroweat,Chic-A-Boom Productions,,,"$97,015"
Illinois,,Commercial,Walmart Verizon & Intel 6891A0005/6891A0008,,,
Illinois,,Commercial,"Campbell:  ""Campbell’s Chunky""",,,
Louisiana,2011,Feature Film,Weather Wars,Active Entertainment,,"$322,247","$96,881"
Illinois,,Commercial,WeatherTech Winter 2015,,,
Ohio,2014,,Christopher Pop-In-Kins  (Animated),Mechanical Lizard Productions LLC,,,"$96,825"
Louisiana,2013,TV MOW,Ghost Shark,AEF Ghostshark LLC,,"$321,443","$96,636"
Massachusetts,2015,,Welcome Home,"Welcome Home Movie, LLC",,,"$96,553"
Pennsylvania,,,Wild About Animals (2013-2014),"Steve Rotfeld Productions, Inc.",22,,"$96,520"
Illinois,,Commercial,"Nestle/DiGiorno (Pizzeria) ""Skeptic""",,,
Louisiana,2014,Feature Film,Lady Day,Professional Films LLC,,"$321,537","$96,461"
Louisiana,2014,TV Series,Parallels,KOG Productions Inc.,,"$299,128","$96,402"
Louisiana,2014,TV Series,The Originals Season 2,Nightfall Productions LLC,,"$292,544","$96,309"
North Carolina,2012,,United Bates of America,"Advanced Medical Productions, Inc.",,"$384,743","$96,186"
Louisiana,2013,Feature Film,Angry Little Gods,Unlucky Number Investments LLC,,"$316,488","$96,054"
Rhode Island,2013,TV Series,Game of Crowns,,,"$483,820","$95,877"
Illinois,,Commercial,"Everybody Loves to Payless - Back to School - ""Bye, Bye""",,,
Illinois,,Commercial,August KFC TV - The Hard Way,,,
New York,2017,Film/TV,Front Cover,NewVoice Production Inc.,189,"$425,041","$95,778"
Illinois,,Commercial,Subway 3401,,,
Louisiana,2012,Feature Film,Vigorsol Mystery,Vigorsol Production NOLA LLC,,"$299,457","$95,642"
Illinois,,TV,Tough Season,,,
Illinois,,TV,Companion Pieces Volume 1,,,
Illinois,,Commercial,"We Want to Learn ""Wild Horse""",,,
Massachusetts,2014,,2014-RLMG-04,Richard Lewis Media Group Inc.,,,"$95,403"
North Carolina,2012,,Abby & Brittany,"Advanced Medical Productions, Inc.",17,"$381,508","$95,377"
Illinois,,Commercial,Barni Digital Activation,,,
Rhode Island,2009,Feature,Mulberry Tree,,,"$500,000","$95,271"
Illinois,,Commercial,FY 15 Tax Time TV 6851A0085 and Vision with Style 6891A0035,,,
Mississippi,2017,,Loose,,,"$22,929","$95,246"
Massachusetts,2013,,Ocean Spray RT 1242,"Redtree Productions, Inc.",,,"$95,190"
New York,2016,Film/TV,Addiction,Spaces in Between the Movie LLC,119,"$447,128","$94,930"
North Carolina,2014,,Americarna,"Americarna, LLC",,"$378,937","$94,734"
Louisiana,2016,Commercial,Entergy,Artistic Endeavors Inc.,,"$300,349","$94,729"
Oregon,2014,Interactive Game,Various Titles,Pipeworks Inc.,,,"$94,610"
Minnesota,,Post,Behr TV 2016,,,"$377,801","$94,450"
Illinois,,TV,Steve Harvey Project #18,,,
Pennsylvania,,,FUTURE WEATHER,Future Weather Productions LLC,60,,"$94,407"
Colorado,2014,Documentary,Being Evel,"Being Evel, LLC",,"$472,490","$94,270"
New York,2017,Film/TV,Man With Van,Dodge Pictures LLC,88,"$396,913","$94,250"
North Carolina,2009,,17 Kids & Counting - Season 2,"Advanced Medical Productions, Inc.",17,"$628,251","$94,238"
Utah,2015,,Two Little Hands 7-9 and ASL 101,,,
Illinois,,Commercial,Group Hug Valentine Event,,,
New York,2015,Film/TV,Life of an Actress,Life of an Actress LLC,124,"$429,505","$94,002"
Ohio,2016,,Blood On Wheels,"Blood On Wheels, LLC",,,"$93,915"
Connecticut,2015,Film and Digital Media Production Tax Credit,,"Silver Plume Productions, LLC",,"$2,134,685","$93,909"
Ohio,2016,,Blood Heist,"Blood On Wheels, LLC",,,"$93,908"
Tennessee,2013,Feature (Independent),BLUE LIKE JAZZ,,,"$552,165","$93,868"
New York,2016,Film/TV,Fourth Man Out,"Lauren & Lauren, Inc.",84,"$434,120","$93,822"
Illinois,,TV,Bowhunter 2013,,,
Rhode Island,2010,Feature,Inkubus Supplemental,,,"$375,000","$93,750"
Louisiana,2013,Feature Film,Buttercup bill,Buttercup Bill LLC,,"$297,610","$93,554"
Illinois,,TV,The 1st 48 Missing Persons Epi 11,,,
New York,2017,Post-Production,Gunslingers -Season 2,"Castle Pictures, Inc.",18,"$353,398","$93,451"
Illinois,,Commercial,WeatherTech Winter 2014,,,
North Carolina,2013,,Planters Commercial,Chelsea Pictures,168,"$372,881","$93,220"
Ohio,2015,,Progressive ' FloBron',Progressive Casualty Insurance,,,"$92,978"
Rhode Island,2015,Feature,Revelers a/k/a Midnighters,,,"$1,000,000","$92,968"
Massachusetts,2016,,Chasing Life Season 2,"Sprodco, Inc.",,,"$92,929"
Louisiana,2012,Commerical,Goes a Long way,"Ease Commercial Services Louisiana, LLC",,"$309,395","$92,818"
Illinois,,Commercial,"Sears Commercial ""Claim Your Points"" Campaign",,,
Louisiana,2012,Feature Film,Barefoot,The Barefoot Group LLC,,"$308,778","$92,672"
Illinois,,Commercial,ConAgra 991,,,
Connecticut,2010,Film and Digital Media Production Tax Credit,,Synthetic Cinema International LLC,,,"$92,626"
District of Columbia,2016,,Secrets of a Housewife,Megaminds Media,,,"$92,500"
Louisiana,2012,Commerical,Chase Football Commercial,Stong Films LLC,,"$283,041","$92,487"
Pennsylvania,,,Faster Than Light: The Dream of Interstellar Spaceflight,"Spitz, Incorporated",0,,"$92,431"
New York,2015,Post-Production,Mojave,Evajom Productions LLC,6,"$350,062","$92,386"
Illinois,,Commercial,Mercedes-Benz USA Alignment (C-Class),,,
Minnesota,,FF,The Blood Stripe,,,"$368,603","$92,151"
Illinois,,Commercial,KFC MK Job 29060,,,
Illinois,,Commercial,"Dean Milk - Flip Cap - ""Open & Shut""",,,
Massachusetts,2015,,Ocean Spray - RT 1337,"Redtree Productions, Inc.",,,"$91,959"
Illinois,,Commercial,Get Your Momentum,,,
Louisiana,2015,Commercial,Lunchables Kabobles Commercial Campaign,EASE Commercial Services LA LP,,"$305,777","$91,884"
Louisiana,2015,Commercial,Yaffe-Deutser Broadcast Commercials,Yaffe / Deutser - Louisiana Investments LLC,,"$305,832","$91,750"
Massachusetts,2013,,Teamsters,"Movement Pictures, Inc.",,,"$91,693"
North Carolina,2012,,Outcast Kustoms,Worldwide Media Group LLC,17,"$366,718","$91,680"
Illinois,,Film,A Light Beneath Their Feet,,,
Illinois,,Commercial,Walmart Wireless,,,
Illinois,,Commercial,"Prudential ""Mirrors""",,,
Louisiana,2012,Feature Film,Parker,Flashfire Productionjs LLC,,"$305,245","$91,612"
Illinois,,Commercial,Don't Risk Your Bacon,,,
Illinois,,Commercial,Subway 3206,,,
Louisiana,2015,TV Series,WWE Smackdown 2014,Event Services NOLA LLC,,"$303,653","$91,096"
Illinois,,TV,Steve Harvey Project #38,,,
Massachusetts,2015,,2015 HGTV Dream Home,Bark-Bark LLC,,,"$90,922"
Illinois,,Commercial,Walmart Share the Magic 68512698,,,
Illinois,,TV,WaMahyaya Season 3,,,
Louisiana,2014,TV Commercial,Popeye's Louisiana Kitchen Commecial Slate 4,Artistic Endeavors Inc.,,"$289,548","$90,602"
Louisiana,2010,TV Reality,Chef John Besh's New Orleans,John Besh's New Orleans LLC,,"$284,882","$90,203"
Louisiana,2014,Feature Film,Dawn of the Planet of the Apes,Fox Louisiana Investment LLC,,"$300,480","$90,144"
Louisiana,2013,Feature Film,The Tomb,"Georgia Film Fund Twelve Productions, LLC",,"$300,096","$90,029"
Massachusetts,2012,,1221 BCBS,"Picture Park, Inc.",,,"$90,003"
Virginia,2016,,Shooting the Prodigal,,,
Illinois,,Commercial,Subway 3212,,,
Pennsylvania,,,The Haney Project - Camp Haney,"The Workshop, LLC",18,,"$89,800"
Illinois,,TV,Best in Bridal,,,
Louisiana,2015,TV Reality,Nightwatch,PBP LLC,,"$280,014","$89,639"
Minnesota,,TV S,Naturally Danny Seo,,,"$448,000","$89,600"
Connecticut,2010,Film and Digital Media Production Tax Credit,,Fake LLC,,"$296,965","$89,090"
Oregon,2014,Series TV,UNTITLED BOUNTY HUNTER,Turner North Center Productions LLC,,,"$89,033"
Connecticut,2011,Film and Digital Media Production Tax Credit,,Mako Games LLC,,"$593,380","$89,007"
Louisiana,2011,Feature Film,the Power of Few,Power of Few Prods,,"$293,189","$88,870"
Connecticut,2013,Film and Digital Media Production Tax Credit,,Ruckus Media Group,,,"$88,799"
Illinois,,Commercial,Knott's Scary Farm #117,,,
Pennsylvania,,,The Real Story: INVINCIBLE,"The Workshop, LLC",19,,"$88,479"
Louisiana,2012,TV Reality,Cajun Outdoors,Cajun Outdoors Productions LLC,,"$280,672","$88,479"
North Carolina,2014,,Live Evil,"Live Evil Movie, LLC",62,"$353,771","$88,443"
Illinois,,Commercial,Must be the Holidays 59 Films Job #5971,,,
Louisiana,2012,Documentary,Hidden Worlds,Hidden Worlds Investment LLC,,"$288,071","$88,309"
Massachusetts,2013,,How to Find Your Dragon,"All Screens Entertainment, Inc.",,,"$88,228"
Minnesota,,FF,"Virginia, Minnesota",,,"$352,082","$88,021"
Louisiana,2012,Animation Short,Let's Go Tee Gumbo,Chow Town Investments LLC,,"$248,944","$88,012"
Rhode Island,2010,Feature,Inkubus,,,"$375,000","$88,002"
Illinois,,Commercial,"Kmart 2014 Window, Superbowl Event",,,
North Carolina,2009,,Red Dirt Racing,Dirt Track Legends,107,"$585,414","$87,812"
North Carolina,2013,,The Perfect Summer,"The Perfect Summer, LLC",65,"$351,027","$87,757"
Louisiana,2015,Feature Film,Cold Moon,Chalmette Movie LLC,,"$291,722","$87,517"
Pennsylvania,,,Voiceless,"American Hero Movie, LLC",130,,"$87,500"
Louisiana,2013,Animation,Silent,Moonbot Studios LA LLC,,"$254,661","$87,355"
Louisiana,2011,Documentary,Ole War Skule,Dog-Man Productions Inc.,,"$243,207","$87,276"
Illinois,,Commercial,Intel 17052,,,
Connecticut,2010,Film and Digital Media Production Tax Credit,,"Royal Oak Films, Inc.",,"$290,789","$87,237"
North Carolina,2015,,My Big Fat Fabulous Life,"Pilgrim Operations, Inc.",17,"$348,707","$87,177"
Louisiana,2013,Feature Film,Dallas Buyer's Club,DBC South LLC,,"$281,405","$87,155"
Minnesota,,TV C,My Pillow Timeline 60,,,"$434,980","$86,996"
Massachusetts,2015,,Brains on Trial,Chedd Angier Productions Co. Inc.,,,"$86,968"
Louisiana,2015,Feature Film,I Saw The Light,I Saw the Light LLC,,"$288,157","$86,866"
Illinois,,Film,Johnson,,,
New York,2016,Film/TV,King Jack,King Jack Inc.,60,"$417,347","$86,775"
Utah,2015,,Utah ProStart Teen Chef Master,,,
Louisiana,2015,Feature Film,Help My Gumshoe is an Idiot,Gumshoe Productions LLC,,"$246,871","$86,634"
North Carolina,2013,,BP iDrive,"Hot Spots, Inc. dba The Cartel",,"$346,481","$86,620"
Mississippi,2017,,Deadly Affair,,,"$14,212","$86,448"
Connecticut,2014,Film and Digital Media Production Tax Credit,,"Silver Plume Productions, LLC",,"$1,508,625","$86,439"
Illinois,,Film,Food,,,
North Carolina,2013,,A Chef's Life,Markay Media LLC,,"$344,460","$86,115"
Illinois,,TV,Oprah's Oscar Special 2013 (Episode 201),,,
Illinois,,Commercial,Subway 3307,,,
Illinois,,Commercial,U.S. Bank S.T.A.R.T. Saving Today And Rewards Tomorrow Commercial,,,
Colorado,2017,TV Series/Special,Colorado Classic,RPM Events Group,,"$430,000","$86,000"
Illinois,,Commercial,Subway 3208,,,
Illinois,,Commercial,Greatness Within Reach,,,
Louisiana,2014,Feature Film,Ruby Strange Love Young Witch,Ruby Productions LLC,,"$285,739","$85,722"
Louisiana,2014,Feature Film,Heat,SJ Heat Productions LLC,,"$285,575","$85,673"
Louisiana,2015,TV Series,Swamp People Season 6,Swampy Projects LLC,,"$285,130","$85,539"
Illinois,,TV,Steve Harvey Project #37,,,
Illinois,,Commercial,Walmart Holiday Co-op Electronics TV,,,
North Carolina,2014,,The Sin Seer,"Overflow Entertainment, Inc",181,"$340,138","$85,035"
District of Columbia,2016,,City of Trees,Meridian Hill Pictures,,,"$85,000"
North Carolina,2010,,1585 Bank of America TOM,RSA Films Inc.,62,"$339,842","$84,961"
Connecticut,2009,Film and Digital Media Production Tax Credit,,"MRB Productions, Inc.",,,"$84,870"
Massachusetts,2013,,API - RT 1309,"Redtree Productions, Inc.",,,"$84,869"
Utah,2013,,Gettysburg 2.0,,,
Louisiana,2011,TV Special,NFL Kickoff 2010,Louisiana Football LLC,,"$282,358","$84,707"
Massachusetts,2015,,14032 K500,"Element Productions, Inc.",,,"$84,679"
Illinois,,Commercial,Treasure Island 929,,,
Illinois,,Commercial,"Tyson Foods Inc:  Hillshire Brands Jimmy Dean ""Fully Cooked Sausage""",,,
Illinois,,Commercial,Subway July/August Promotions,,,
New York,2015,Film/TV,Hard Sell,Hard Sell LLC,142,"$349,335","$84,443"
Louisiana,2012,Commerical,Morrison Productions Slate of National Commercials 3,Morrison Productions/Twisted Fiction,,"$263,737","$84,412"
Massachusetts,2016,,Falabella,"Old Harbor Productions, Inc.",,,"$84,274"
Louisiana,2015,TV Series,Crime Files: The Homefront,Bellum South C LLC,,"$267,088","$83,965"
North Carolina,2011,,Born to Drive,"Conrad Riggs Productions, Inc.",25,"$334,665","$83,666"
